"state","state_abb","county","stcty","FIPS","year","crsi_NaturalEnvironment","IMPACTS_drought","IMPACTS_extremeheat","IMPACTS_flooding","IMPACTS_precipitation","IMPACTS_sealevelrise","IMPACTS_stormsurge","IMPACTS_airqualityoutdoor","IMPACTS_airtemperature","IMPACTS_erosion","IMPACTS_seasonalshift","IMPACTS_vectors","IMPACTS_oceanacidification","IMPACTS_watertemperature","IMPACTS_NA","IMPACTS_extremestormevent","IMPACTS_wind","IMPACTS_ecosystems","IMPACTS_saltwaterintrusion","IMPACTS_extremecold","IMPACTS_airqualityindoor","IMPACTS_","IMPACTS_ecosystemsnaturalresources","IMPACTS_floodingprecipitation","IMPACTS_wildfires","IMPACTS_wildfire","FEATURE_ecosystemsnaturalresources","FEATURE_governmentfloodzonemapping","FEATURE_infrastructurebuilt","FEATURE_infrastructurecommunication","FEATURE_responseemergencydisasterpreparednessmitigation","FEATURE_socialoutreachcommunicationeducation","FEATURE_economiccostbenefitanalysis","FEATURE_economicecosystemservices","FEATURE_governmentbylawsordinancescodes","FEATURE_infrastructuretransportation","FEATURE_socialfoodsecurity","FEATURE_socialpublichealth","FEATURE_infrastructuredrinkingwater","FEATURE_responsedamsafety","FEATURE_socialculturalhistoricalresources","FEATURE_economicresilience","FEATURE_ecosystemscoastalprotection","FEATURE_governmentdownscaleclimatemodeling","FEATURE_infrastructureenergy","FEATURE_socialenvironmentaljustice","FEATURE_socialhousing","FEATURE_socialvulnerablepopulations","FEATURE_infrastructurestormwater","FEATURE_governmentlanduseregulations","FEATURE_infrastructurecoastal","FEATURE_infrastructurewastewater","FEATURE_ecosystemsagricultureforestry","FEATURE_governmentgreenhousegasmitigation","FEATURE_responsedebrismanagement","FEATURE_infrastructuregreen","FEATURE_ecosystemsriverine","FEATURE_socialvulnerablepopulation","PLAN_TYPE_vulnerabilityassessment","PLAN_TYPE_resilienceplan","PLAN_TYPE_femahazardmultihazardmitigationplans","PLAN_TYPE_harbormanagementplan","PLAN_TYPE_adaptationplan","PLAN_TYPE_municipalmasterorcomprehensiveplan","PLAN_TYPE_capitalimprovementsplan","PLAN_TYPE_coastalplan","PLAN_TYPE_casestudy","PLAN_TYPE_climateactionplan","PLAN_TYPE_webpage","PLAN_TYPE_presentation","PLAN_TYPE_measurementandevaluation","PLAN_TYPE_NA","PLAN_TYPE_landuseplanning","PLAN_TYPE_stormwaterplan","PLAN_TYPE_openspaceplan","PLAN_TYPE_zoningordinance","PLAN_TYPE_economicdevelopmentplanorstrategy","PLAN_TYPE_disasterrecoveryplan","PLAN_TYPE_femahazardmultihazardmitigation","PLAN_TYPE_evacuationplan","PLAN_TYPE_climatemitigationdocument","PLAN_TYPE_watershedmanagementplan","PLAN_TYPE_emergencyresponseplan","PLAN_TYPE_historicpreservationplan","PLAN_TYPE_floodplainmanagementplan","PLAN_TYPE_femahazardmitigationplan","PLAN_TYPE_stormwatermanagementplan","PLAN_TYPE_measurementandevaulation","PLAN_TYPE_coastalplanorcoastalelementinotherplan","COMMUNITY_town","COMMUNITY_organization","COMMUNITY_state","COMMUNITY_watershed","COMMUNITY_tribe","total_policy","SPL_THEMES","RPL_THEMES","SPL_THEME1","RPL_THEME1","SPL_THEME2","RPL_THEME2","SPL_THEME3","RPL_THEME3","SPL_THEME4","RPL_THEME4","EP_POV150","EPL_POV150","EP_UNEMP","EPL_UNEMP","E_TOTPOP","M_HBURD","M_NOHSDP","M_MINRTY","E_MINRTY","M_SNGPNT","M_MOBILE","E_LIMENG","M_LIMENG","STATE","COUNTY","PC1_imp","PC2_imp","PC3_imp","PC4_imp","PC1_fea","PC2_fea","PC3_fea","PC4_fea","PC1_plan","PC2_plan","PC3_plan","PC4_plan","PC5_plan","M_HBURD_POP","M_NOHSDP_POP","M_MINRTY_POP","M_SNGPNT_POP","M_MOBILE_POP","M_LIMENG_POP","first_treat","id","vulnerability"
"Massachusetts","MA","Barnstable","MA_BARNSTABLE","25001",2022,0.591,13,17,57,26,54,37,4,17,42,0,3,5,0,0,20,15,9,2,6,4,0,0,0,1,4,22,15,31,12,28,27,4,13,21,24,3,12,21,6,18,19,38,5,21,8,13,9,25,17,17,15,11,7,3,7,4,4,10,16,4,1,7,2,0,11,3,1,6,1,1,3,3,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,46,0,26,0,1,73,5.4782,0.1279,1.3525,0.1537,2.1757,0.3003,0.3917,0.3917,1.5583,0.1107,12,0.0512,4.5,0.4537,229436,1190,766,1558,31037,474,305,3332,693,"Massachusetts","Barnstable",13.6904772630381,1.47345400594001,-4.45513226951727,-4.1996565852579,17.1410827017712,5.33130805729998,-1.11305158253117,-0.603390617177148,20.4937298297989,-3.62381131401675,-5.32942351145065,-3.08576715884819,0.547110367508449,0.00518663156610122,0.00333862166355759,0.00679056468906362,0.0020659355985983,0.00132934674593351,0.00302045014731777,2000,10,0.1279
"Massachusetts","MA","Berkshire","MA_BERKSHIRE","25003",2000,0.402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5234,0.8097,NA,NA,NA,NA,NA,NA,NA,NA,12204,0.5445,3539,0.7453,134953,3111,13951,7899,1140,4805,1720,76334,656,"Massachusetts","Berkshire",-1.90205561844577,0.283265732016883,-0.360878349008256,0.220256304254983,-2.3884261013146,-0.264866245565068,-0.251018757583049,-0.191857168606742,-2.91948327099983,-0.411898075659322,0.444300575655357,-0.531287967098038,0.0490490627926145,0.0230524701192267,0.103376731158255,0.0585314887405245,0.0356049884033701,0.0127451779508421,0.00486095159055375,2004,11,NA
"Massachusetts","MA","Berkshire","MA_BERKSHIRE","25003",2010,0.402,0,1,2,0,2,2,0,1,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,2,3,0,1,0,1,1,0,1,0,0,2,0,0,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,5.1555,0.5466,NA,NA,NA,NA,NA,NA,NA,NA,14598,0.288,0.07516407,0.5356,131528,112,624,12293,1787,5639,232,1206,465,"Massachusetts","Berkshire",-1.29243393104306,0.216616328649604,-0.369332439243764,0.0486402187146704,-1.57312125050118,-0.270884847525073,-0.0495345634915753,0.520021855250958,-2.0905104812503,-0.206980664433238,-0.88832646444604,-0.351906021937115,0.740803726572381,0.000851529712304604,0.00474423696855422,0.0934629888692902,0.0428730004257649,0.00176388297548811,0.00353536889483608,2004,11,NA
"Massachusetts","MA","Berkshire","MA_BERKSHIRE","25003",2014,0.402,0,3,6,4,5,4,0,3,2,0,2,1,0,0,1,0,2,0,0,1,0,0,0,0,0,4,2,0,0,5,7,1,2,0,2,2,3,3,0,0,5,0,0,2,0,1,2,1,2,0,0,0,3,0,2,0,0,1,0,0,0,2,0,0,1,2,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,6.8395,0.3859,1.2232,0.2655,1.9032,0.4072,1.0245,0.5075,2.6886,0.5852,27,0.2766,9.4,0.6199,130064,947,633,295,13193,456.2,234,1562,410.7,"Massachusetts","Berkshire",-0.231665477109549,0.0714229860538837,-0.558006063839595,-0.498455036953169,-0.313012784452262,-0.0553003824681018,0.422340647249732,1.25353661664488,-0.590279774885072,0.444291004796394,-1.45893424636817,1.00573332170448,1.05068520789905,0.00728103087710666,0.00486683478902694,0.00226811415918317,0.00350750399803174,0.00179911428219953,0.00315767622093738,2004,11,0.3859
"Massachusetts","MA","Berkshire","MA_BERKSHIRE","25003",2016,0.402,0,3,10,4,7,6,0,3,6,0,2,1,0,1,1,0,2,0,0,1,0,0,0,0,0,4,3,0,0,5,9,1,3,0,2,2,3,3,0,0,6,0,0,3,0,2,3,4,3,0,0,0,4,0,3,0,0,1,0,0,0,3,0,0,1,2,0,4,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,14,0,0,15,7.0315,0.4148,1.3356,0.2977,1.9538,0.4346,1.0372,0.5212,2.7049,0.5912,24.7,0.2724,8.2,0.6813,128563,1057,593,91,13480,447.1,238,1619,373,"Massachusetts","Berkshire",0.233582866403669,-0.0261802142940382,-0.518357647641324,-0.774956536343599,0.264869115450331,-0.130950407788019,0.446597950423048,1.76684451029014,0.344423994015344,0.154042258044743,-2.26888093729884,2.7346733121316,1.32751431157245,0.00822165008595008,0.00461252459883481,0.000707824179585106,0.00347767242519232,0.00185123246968412,0.00290130130753016,2004,11,0.4148
"Massachusetts","MA","Berkshire","MA_BERKSHIRE","25003",2018,0.402,5,10,23,11,11,11,1,6,8,0,5,1,0,1,8,7,2,1,4,2,0,0,0,2,2,4,5,5,5,12,11,1,3,1,10,2,5,9,6,2,8,1,1,8,0,4,7,13,3,1,4,2,4,3,5,0,0,2,7,0,0,4,0,0,4,2,0,5,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,0,20,0,0,28,6.934,0.4083,1.2213,0.272,1.9477,0.4438,1.0776,0.5533,2.6874,0.6004,453,0.0655,6,0.5854,127328,112,645,304,14697,462.6,210,1799,456.6,"Massachusetts","Berkshire",4.64840134183558,3.02733800132616,-1.98946344922447,-0.680682029641923,3.59727821539093,-0.777078275179358,-1.06870447728268,2.26285650309117,6.52738976385322,-3.65518471005917,-3.02083784985454,0.184644706379891,1.63234468105787,0.000879617994470973,0.00506565720030158,0.00238753455642121,0.00363313646644886,0.00164928373963307,0.00358601407388791,2004,11,0.4083
"Massachusetts","MA","Berkshire","MA_BERKSHIRE","25003",2020,0.402,7,13,27,15,11,11,2,9,9,0,7,1,1,1,11,11,4,1,7,3,0,0,0,2,3,6,6,10,8,16,14,3,6,5,14,2,8,12,9,4,10,1,2,12,2,5,8,15,6,1,6,7,4,5,7,2,2,2,11,0,0,4,0,0,4,2,1,5,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,0,21,0,0,33,7.1562,0.367,1.8246,0.2801,2.3323,0.4023,0.3889,0.3889,2.6104,0.5589,17.4,0.2018,5.1,0.5385,125927,899,568,747,15489,370,293,835,249,"Massachusetts","Berkshire",6.87080351693413,3.80662235838208,-1.88838295989533,-0.449133940846289,7.07089814534148,-1.52020438784838,-0.991873787570137,1.14579125003107,9.18424045620668,-6.30317465214441,-1.88108161508584,-0.722951459677785,1.07775374497534,0.00713905675510415,0.0045105497629579,0.00593200822698865,0.00293821023291272,0.00232674486011737,0.00197733607566288,2004,11,0.367
"Massachusetts","MA","Berkshire","MA_BERKSHIRE","25003",2022,0.402,11,17,32,20,15,14,4,15,9,0,7,1,1,1,16,13,9,1,8,4,0,0,0,2,4,12,7,17,10,19,20,4,11,12,21,2,13,17,9,6,17,4,3,19,8,9,8,20,12,1,10,11,8,7,8,6,4,5,14,0,0,4,1,0,4,2,1,5,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,14,0,26,0,0,40,7.4307,0.4235,1.9753,0.3242,2.3647,0.4311,0.3939,0.3939,2.6968,0.6061,18.4,0.2708,5.3,0.616,128763,997,805,352,17508,387,261,828,259,"Massachusetts","Berkshire",9.55935455538268,4.37993949550905,-1.95808745324924,-0.372611328209777,12.3866503433361,-1.95168270131089,0.479938421295862,-0.075837499809246,12.87746629888,-6.06957369040875,-0.133303911985356,-1.75987723702704,1.20032402020821,0.00774290751225119,0.00625179593516771,0.00273370455798638,0.00300552177255889,0.00202697980009785,0.00201144738783657,2004,11,0.4235
"Massachusetts","MA","Bristol","MA_BRISTOL","25005",2000,0.451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5234,0.7849,NA,NA,NA,NA,NA,NA,NA,NA,52236,0.8198,15859,0.8998,534678,2760,95919,56604,2389,19362,3469,76334,22082,"Massachusetts","Bristol",-1.90205561844577,0.283265732016883,-0.360878349008256,0.220256304254983,-2.3884261013146,-0.264866245565068,-0.251018757583049,-0.191857168606742,-2.91948327099983,-0.411898075659322,0.444300575655357,-0.531287967098038,0.0490490627926145,0.0051619853444503,0.179395823280554,0.105865586390313,0.0362124493620459,0.0064880170869196,0.0412996233246926,2004,12,NA
"Massachusetts","MA","Bristol","MA_BRISTOL","25005",2010,0.451,1,1,3,1,2,2,0,1,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,2,1,0,2,3,0,1,1,2,1,0,1,1,0,2,0,0,1,0,2,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,5,3.3263,0.0261,NA,NA,NA,NA,NA,NA,NA,NA,60215,0.2711,0.08813055,0.7002,546433,226,1824,78941,1140,24570,300,23338,1255,"Massachusetts","Bristol",-1.18737166729489,0.256655501941196,-0.390082064036473,0.0702844496720647,-1.34699573964078,-0.278374024904215,-0.0993681909026149,0.567250450145475,-2.01885703215419,-0.222717161644126,-0.938829101281791,-0.258228500977194,0.487427087574613,0.000413591419259086,0.00333801216251581,0.144466018706777,0.0449643414654679,0.000549015158308521,0.00229671341225731,2004,12,NA
"Massachusetts","MA","Bristol","MA_BRISTOL","25005",2014,0.451,1,3,10,8,11,10,0,3,2,0,2,1,0,0,1,0,2,0,0,1,0,0,0,0,0,4,6,3,0,5,7,1,2,1,3,2,3,6,1,0,5,0,0,2,3,2,5,1,2,0,3,0,3,0,2,0,0,3,0,1,0,3,0,0,1,2,0,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,10,0,0,17,7.7924,0.5562,1.7873,0.4444,1.8131,0.3387,1.3913,0.7358,2.8007,0.6482,15.5,0.0512,10,0.6804,551065,2157,1768,862,84035,971.2,327,22119,1179.3,"Massachusetts","Bristol",0.320894612362089,-0.0617624158991842,-0.866788914430487,-0.721454253270728,0.768750788226273,-0.0224332030508388,0.170615060405653,1.64225201818899,1.69071370763987,1.61239758581517,-1.96435864898632,2.93369153645942,1.4649814637896,0.00391423879215701,0.00320833295527751,0.0015642437824939,0.00176240552384927,0.000593396423289449,0.00214003792656039,2004,12,0.5562
"Massachusetts","MA","Bristol","MA_BRISTOL","25005",2016,0.451,2,3,16,10,15,14,0,3,6,0,2,1,0,1,1,0,2,0,0,1,0,0,0,0,0,4,9,4,1,6,9,1,3,1,4,2,3,8,2,0,6,1,0,5,3,3,6,5,4,1,4,0,4,0,2,0,0,3,0,3,0,4,0,0,1,2,0,7,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,0,14,0,0,24,7.7316,0.5403,1.7698,0.4368,1.7759,0.3104,1.4053,0.7459,2.7806,0.6342,15.5,0.1718,8.1,0.6714,554868,1697,1641,975,90251,911,330,21723,1152.7,"Massachusetts","Bristol",1.0403711615313,-0.177067968037067,-0.943901198290986,-1.05785933746208,1.83951713034215,0.153117008200763,-0.122304927921912,2.17133931685211,2.76872437473251,1.29067584464175,-2.8753106135885,4.84998656880638,1.23505728946747,0.00305838505734697,0.00295746015268496,0.0017571746793832,0.00164183193119805,0.0005947360453297,0.00207743102864105,2004,12,0.5403
"Massachusetts","MA","Bristol","MA_BRISTOL","25005",2018,0.451,8,11,28,13,22,20,2,5,7,1,3,1,0,1,7,5,2,1,2,2,0,0,0,1,1,5,11,8,4,11,11,1,4,3,8,2,4,12,7,1,7,4,1,9,3,3,9,12,4,3,7,2,4,1,5,0,0,4,6,3,0,5,0,0,4,2,0,8,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,16,0,20,0,0,36,7.5826,0.5248,1.5964,0.3831,1.7825,0.3177,1.431,0.7682,2.7727,0.6466,17.8,0.0481,5.8,0.5481,558905,1705,1969,1252,101050,933.3,341,22078,1215.3,"Massachusetts","Bristol",4.50727158716988,1.41304593064325,-1.769642092637,-0.895851310001961,4.37774474829639,0.140592330711079,-1.51316374397834,2.59033166782972,8.32115977207601,-1.86248079009327,-3.90018489307103,2.5879332143651,1.49935267227274,0.00305060788506097,0.00352296007371557,0.00224009447043773,0.00166987233966416,0.000610121577012193,0.0021744303593634,2004,12,0.5248
"Massachusetts","MA","Bristol","MA_BRISTOL","25005",2020,0.451,16,19,40,22,30,27,3,13,8,1,4,2,0,1,16,12,4,1,6,3,0,0,0,1,1,11,15,18,11,19,18,2,11,12,17,4,10,21,13,4,12,9,6,17,7,10,11,20,11,9,14,11,5,4,8,5,6,4,14,3,0,6,0,0,5,2,2,9,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,28,0,21,0,0,49,8.4346,0.5875,2.3577,0.4494,2.713,0.669,0.5481,0.5481,2.8158,0.6668,17.8,0.218,5.4,0.5971,563301,1982,1714,2629,111871,1191,533,20609,1428,"Massachusetts","Bristol",8.61482414333423,2.45237088290467,-2.43918006212478,-0.950119051201618,12.9258548364944,-0.877832801516747,-2.2183292860839,0.388175033598751,14.3870070787767,-7.21572264337538,-2.93429928983018,1.2645596623591,0.663155833218991,0.00351854514726585,0.00304277819496149,0.00466713178212004,0.00211432253803917,0.000946208155142632,0.00253505674586056,2004,12,0.5875
"Massachusetts","MA","Bristol","MA_BRISTOL","25005",2022,0.451,20,25,47,26,34,32,5,21,8,2,4,2,0,1,23,13,8,1,7,4,0,0,0,1,1,19,18,26,11,22,23,3,16,18,22,4,15,25,14,5,18,13,9,22,14,13,11,27,16,10,21,14,9,4,12,11,7,8,16,3,1,6,1,0,5,2,2,9,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,33,0,26,0,0,59,8.6255,0.6227,2.5514,0.5148,2.649,0.6332,0.5558,0.5558,2.8693,0.699,18.1,0.2545,5.7,0.6939,576699,2000,2031,1789,126013,1186,489,23005,1529,"Massachusetts","Bristol",11.3889391748906,2.81629854941032,-2.34189214823251,-0.997451850719981,18.4409845046591,-0.879500964749203,-0.745612325436809,-0.924677331825914,18.0341254501274,-5.60704511966181,-1.1708202254827,0.372923733849959,0.830642124878911,0.00346801364316567,0.00352176785463474,0.00310213820381169,0.00205653209039724,0.000847929335754007,0.00265129643020016,2004,12,0.6227
"Massachusetts","MA","Dukes","MA_DUKES","25007",2000,0.595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.192,0.8097,NA,NA,NA,NA,NA,NA,NA,NA,1083,0.7199,221,0.6902,14987,226,1026,1594,1899,549,12,75280,199,"Massachusetts","Dukes",-1.90205561844577,0.283265732016883,-0.360878349008256,0.220256304254983,-2.3884261013146,-0.264866245565068,-0.251018757583049,-0.191857168606742,-2.91948327099983,-0.411898075659322,0.444300575655357,-0.531287967098038,0.0490490627926145,0.0150797357710015,0.0684593314205645,0.106358844331754,0.0366317475145126,0.000800693934743444,0.0132781744178288,2004,13,NA
"Massachusetts","MA","Dukes","MA_DUKES","25007",2010,0.595,0,1,3,1,3,3,0,1,2,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,2,1,0,2,4,0,1,0,1,1,1,1,0,0,2,0,0,1,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,5,5.1879,0.0844,NA,NA,NA,NA,NA,NA,NA,NA,1395,0.1136,0.05855403,0.3087,16155,226,334,2260,17976,602,161,379,633,"Massachusetts","Dukes",-1.13897392145128,0.194295707664848,-0.43061825246492,-0.0561257490000231,-1.44025076104902,-0.226062548669787,-0.0760985690392261,0.629330065621181,-1.51980809770425,0.513830929844495,-0.591261011892933,-0.487718221284671,0.79123150289306,0.0139894769421232,0.0206747137109254,0.139894769421232,0.0372640049520272,0.00996595481275147,0.0391829155060353,2004,13,NA
"Massachusetts","MA","Dukes","MA_DUKES","25007",2014,0.595,0,3,10,8,9,8,0,3,3,0,2,1,0,0,1,0,2,0,0,1,0,0,0,0,0,4,6,4,0,5,8,1,2,3,2,2,4,3,0,0,5,3,0,2,0,1,2,4,2,3,0,0,3,0,2,0,0,2,0,0,0,2,0,0,4,2,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,10,0,0,14,3.8106,0.028,0.4744,0.049,1.5263,0.1703,0.9994,0.4951,0.8106,0.0057,1083,0.0563,5.1,0.1617,16915,103,470,329,984,174.8,66,350,235.2,"Massachusetts","Dukes",0.230622616355803,-0.0144895896158697,-0.767831043817868,-0.753882516408424,0.36927837096624,0.851355143065777,-0.212144986779532,1.36943457806736,0.650029893917186,1.34467620954247,-3.63059439476515,-0.465391518653883,0.647621964158289,0.00608926987880579,0.0277859887673662,0.0194501921371564,0.0103340230564588,0.00390186225243866,0.0139048182086905,2004,13,0.028
"Massachusetts","MA","Dukes","MA_DUKES","25007",2016,0.595,0,3,17,9,13,12,0,3,8,0,2,1,0,0,1,0,2,0,0,1,0,0,0,0,0,4,8,6,0,5,11,1,3,3,3,2,5,3,0,0,6,3,0,2,0,2,3,7,3,4,2,0,3,0,2,0,0,3,0,0,0,3,0,0,5,2,0,4,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,14,0,0,21,3.4524,0.0169,0.4075,0.0347,1.0322,0.0462,1.2477,0.6428,0.765,0.0067,2522,0.0563,4.3,0.1754,17137,226,484,153,2240,152.1,10,404,276.3,"Massachusetts","Dukes",0.849989601007986,-0.113085315325722,-1.04135162230087,-1.25344681119163,1.12896092050963,1.02770651049693,-0.395646231641641,1.77005294953505,2.3322843931507,1.88783046228155,-4.97436573145554,0.689781966173282,0.92183544413023,0.0131878391783859,0.0282429830191982,0.00892805041722589,0.00887553247359514,0.000583532707008228,0.0161230086946373,2004,13,0.0169
"Massachusetts","MA","Dukes","MA_DUKES","25007",2018,0.595,5,7,26,13,21,18,1,6,12,0,2,3,1,0,6,2,3,1,1,2,0,0,0,1,2,5,11,10,2,8,13,1,4,7,7,3,5,6,2,3,8,7,2,5,0,2,4,10,3,10,2,1,3,1,5,0,0,4,4,0,0,4,0,0,8,2,0,5,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,11,0,20,0,1,32,3.2645,0.0096,0.2719,0.015,1.2235,0.0735,0.9573,0.4887,0.8118,0.008,21.2,0.0563,3.2,0.1484,17313,131,232,183,2415,162.2,47,140,116.3,"Massachusetts","Dukes",4.35186702598956,0.438683378498331,-2.41566163091179,-1.83856381616871,3.52126913238474,2.07868628436729,-1.43615253534026,1.92133398853999,6.63082091928052,0.056347329790826,-6.57073927242927,-1.00606701601492,1.08075079143322,0.00756656847455669,0.0134003350083752,0.0105700918385029,0.00936868249292439,0.0027147230404898,0.00671749552359499,2004,13,0.0096
"Massachusetts","MA","Dukes","MA_DUKES","25007",2020,0.595,6,7,29,15,24,20,2,9,14,1,3,4,1,0,9,3,5,1,1,3,0,0,0,1,4,7,12,14,3,11,15,1,6,10,10,4,8,7,3,5,10,10,3,8,0,3,4,12,4,11,3,4,3,1,5,0,1,4,6,0,0,4,0,0,8,2,1,5,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,13,0,21,0,2,36,5.3054,0.1136,1.8055,0.2728,1.8779,0.1525,0.4822,0.4822,1.1398,0.0341,12.7,0.0579,5.1,0.5385,17430,361,254,428,2810,134,47,310,190,"Massachusetts","Dukes",6.22808472210947,0.508047677238381,-2.23513929044577,-2.33268734785966,5.47432340588442,2.34383634472569,-1.38340625639925,1.74049055467006,8.0669976115229,-1.3176649916001,-5.95962581538326,-1.30839976958474,0.207780549027598,0.0207114170969593,0.0145725760183592,0.0245553643144005,0.00768789443488239,0.00269650028686173,0.0109007458405049,2004,13,0.1136
"Massachusetts","MA","Dukes","MA_DUKES","25007",2022,0.595,10,11,33,19,28,23,4,15,15,2,4,5,2,0,13,4,10,2,1,4,0,0,0,1,5,13,13,20,4,14,20,3,11,16,16,5,13,11,3,7,16,14,5,14,6,6,4,16,9,12,7,8,8,1,7,3,2,7,7,0,0,4,1,0,8,2,2,5,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,13,1,26,0,2,42,5.5147,0.133,2.1625,0.3821,2.1225,0.2704,0.5094,0.5094,0.7203,0.0064,12.8,0.0655,7,0.8476,20543,410,406,680,3885,143,16,990,530,"Massachusetts","Dukes",9.32251573704589,0.0367093215715078,-2.21744984813398,-2.35142419763254,10.4703444812984,2.71106936081839,0.590694583329907,0.962564392873891,10.6338919115834,0.204368028263681,-4.70959607907506,-1.52507020512913,-0.46745003190296,0.0199581365915397,0.0197634230638174,0.0331012997127975,0.0069610086160736,0.000778854110889354,0.0257995424232099,2004,13,0.133
"Massachusetts","MA","Essex","MA_ESSEX","25009",2000,0.487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7547,0.8234,NA,NA,NA,NA,NA,NA,NA,NA,63137,0.6774,16880,0.7795,723419,3123,74967,122201,245,23942,1874,77816,27229,"Massachusetts","Essex",-1.90205561844577,0.283265732016883,-0.360878349008256,0.220256304254983,-2.3884261013146,-0.264866245565068,-0.251018757583049,-0.191857168606742,-2.91948327099983,-0.411898075659322,0.444300575655357,-0.531287967098038,0.0490490627926145,0.00431700024467148,0.103628740743608,0.168921468747711,0.0330956195510486,0.00259047661175612,0.0376393210573679,2004,14,NA
"Massachusetts","MA","Essex","MA_ESSEX","25009",2010,0.487,0,1,2,0,2,2,0,1,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,2,3,0,1,0,1,1,0,1,0,0,2,0,0,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,8.774,0.007,NA,NA,NA,NA,NA,NA,NA,NA,72705,0.19,0.06796941,0.4367,735642,135,1774,178124,1899,31152,256,38521,1638,"Massachusetts","Essex",-1.29243393104306,0.216616328649604,-0.369332439243764,0.0486402187146704,-1.57312125050118,-0.270884847525073,-0.0495345634915753,0.520021855250958,-2.0905104812503,-0.206980664433238,-0.88832646444604,-0.351906021937115,0.740803726572381,0.000183513176246054,0.00241149907155926,0.24213408152335,0.0423466849364229,0.000347995356436963,0.00222662653845213,2004,14,NA
